avg_speed,max_speed,speed_std,avg_accel,brake_events_per_km,idle_frac,oat,aux_power_w,soc,wh_per_km,range_km,trip_key
37.9004950621952,54.6299972534,16.409942678783477,1.1570919716606765,13.115614208412929,0.06201550387596899,5.0,2151.937984496124,96.341468811,126.89362191940806,163.99372126356806,10-1558
27.029516346786377,53.0499992371,16.044065282798982,1.279154378230719,15.810106074006496,0.06334841628959276,4.755656108597285,1561.764705882353,71.707321167,330.58859269496713,46.85213499294406,10-1561
23.479050071933163,44.0099983215,14.346100471437774,1.484632187428805,28.365713354434003,0.15053763440860216,4.924731182795699,1194.8924731182797,69.0243911743,200.97969659261724,74.18295850983226,10-1561
25.3206890472075,51.0399971008,16.925160369620734,0.6817232287114304,14.884871281932758,0.08661417322834646,4.5,1071.6535433070867,67.5609817505,231.01825570805426,63.16891283496616,10-1561
21.528492721798013,36.9300003052,12.329097352852173,0.9801936634034528,22.64111523821265,0.1511627906976744,9.252906976744185,1908.139534883721,71.0975646973,379.5149997953928,40.46499870333513,10-1567
25.677618548984153,41.8299980164,15.106510087973426,1.0963261040104342,24.134981633090568,0.18333333333333332,9.416666666666666,1431.6666666666667,68.9024429321,252.7026199024214,58.89502720264829,10-1567
34.37647878028873,49.0900001526,14.394395438359917,0.7031739424376544,7.315191780098864,0.06666666666666667,9.5,895.0,64.634147644,160.23607847548556,87.12754345919593,10-1568
31.409947825460925,58.7399978638,15.284666895875814,1.0247709417820559,20.14131494923606,0.08056872037914692,14.0,349.0521327014218,48.7804870605,230.62618721647826,45.68685513227424,10-1572
22.666685137069543,48.1199989319,15.25273883432828,1.1431284319654524,27.18075918412262,0.14634146341463414,14.28048780487805,431.7073170731707,47.6829299927,256.95866884526237,40.082371708679155,10-1572
25.143141073286248,42.9199981689,14.645184397407613,0.7265646338555181,6.144695813302561,0.17665615141955837,9.805993690851736,884.0694006309149,100.0,257.6080489336159,83.84831176438199,10-1578
